ID,Fallow_yr1,Fallow_yr2,Fallow_yr3,wealth,hheducation,adults,ethnicity,hhgender
EU104,No,No,No,1.155,primary2,4,Other,Male
EU106,No,No,Yes,3.07,primary2,2,Other,Male
EU107,No,No,No,3.015,primary1,4,Other,Female
EU111,No,No,No,0.515,none,1,Other,Female
EU112,No,No,Yes,0.83,primary2,2,Other,Male
EU114,No,No,No,4.55,secondary,4,Other,Male
EU119,No,No,No,3.19,primary2,2,Other,Male
EU158,No,No,No,0.795,primary2,1,Other,Female
EU128,No,No,No,2.675,secondary,3,Other,Male
EU145,No,No,No,2.28,primary2,2,Other,Male
EU120,No,No,No,2.795,primary2,1,Other,Male
EU122,No,No,No,3.19,primary2,3,Other,Male
EU124,No,No,No,3.31,secondary,2,Other,Male
EU125,No,No,No,0.55,none,2,Other,Male
EU126,No,No,No,2.83,primary2,2,Other,Male
EU116,No,No,No,0.83,primary2,2,Other,Male
EU174,No,No,No,0.99,primary1,4,Other,Male
EU156,No,No,No,1.555,primary2,3,Other,Male
EU167,No,No,No,1.19,secondary,2,Other,Male
EU168,No,No,No,2.835,primary1,2,Other,Male
EU169,No,No,No,0.715,primary1,1,Other,Female
EU170,No,No,No,1.07,primary2,4,Other,Male
EU165,No,No,Yes,2.915,primary2,4,Other,Female
EU172,No,No,No,1.07,primary2,1,Other,Female
EU164,No,No,No,1.19,primary2,2,Other,Male
EU175,No,No,Yes,3.11,primary1,3,Other,Male
EU176,No,No,No,0.555,primary2,1,Other,Male
EU177,No,No,No,0.75,primary1,2,Other,Male
EU178,No,No,No,2.79,none,3,Other,Female
EU103,No,No,No,3.35,primary1,3,Other,Female
EU045,No,No,Yes,0.24,none,5,Other,Female
EU171,No,No,No,2.83,primary2,2,Other,Male
EU180,No,No,No,2.83,primary2,2,Other,Male
EU147,No,No,No,0.715,primary1,1,Other,Male
EU148,No,No,Yes,2.99,primary1,1,Other,Female
EU149,No,No,No,0.75,primary1,2,Other,Male
EU150,No,No,No,0.75,primary1,3,Other,Male
EU151,No,No,No,0.75,primary1,4,Other,Male
EU166,No,No,No,2.95,secondary,3,Other,Male
EU157,No,No,No,1.07,primary2,2,Other,Female
EU146,No,No,No,0.79,none,2,Other,Female
EU159,No,No,No,2.795,primary2,2,Other,Male
EU179,No,No,No,2.915,secondary,2,Other,Male
EU160,No,No,No,1.11,primary1,5,Other,Female
EU161,No,No,No,3.71,secondary,2,Other,Male
EU162,No,No,No,3.31,secondary,3,Other,Male
EU163,No,No,No,3.55,secondary,4,Other,Male
EU154,No,No,No,0.99,primary1,3,Other,Male
EU027,No,No,No,2.76,secondary,2,Other,Male
EU059,No,No,No,0.52,primary2,2,Other,Male
EU058,No,No,No,2.2,primary1,2,Other,Male
EU057,No,No,No,0.915,primary2,2,Other,Male
EU055,No,No,Yes,2.915,primary2,2,Other,Female
EU054,No,No,No,0.28,primary2,6+,Other,Female
EU053,No,No,No,2.835,primary1,3,Other,Female
EU052,No,No,No,0.555,primary2,2,Other,Male
EU048,No,No,No,0.635,none,2,Other,Male
EU046,No,No,No,2.64,secondary,2,Other,Male
EU042,No,No,Yes,3.1,secondary,2,Other,Male
EU041,No,No,Yes,3.15,secondary,5,Other,Male
EU040,No,No,No,0,none,5,Other,Male
EU047,No,No,No,0.28,primary2,2,Other,Male
EU009,No,No,No,3.5,primary1,2,Other,Male
EU155,No,No,No,0.83,primary2,2,Other,Male
EU181,No,No,No,1.19,primary2,6+,Other,Male
EU001,No,Yes,Yes,4.015,primary1,2,Other,Male
EU003,No,No,No,3.455,primary2,2,Other,Male
EU006,Yes,Yes,No,3.215,secondary,2,Other,Male
EU038,No,No,No,3.18,primary2,2,Other,Male
EU008,No,No,No,3.5,primary1,2,Other,Male
EU017,No,Yes,No,2.58,primary2,2,Other,Male
EU018,No,No,No,0.4,secondary,2,Other,Male
EU020,No,No,Yes,1.977,secondary,3,Other,Male
EU021,No,No,No,2.64,primary2,2,Other,Male
EU026,No,No,Yes,0.2,primary1,2,Other,Male
EU062,No,No,Yes,2.68,primary2,2,Other,Male
EU007,No,No,Yes,3.095,primary2,2,Other,Male
EU093,No,No,No,0.83,primary2,2,Other,Male
EU060,No,No,No,0.28,primary2,2,Other,Male
EU085,No,No,No,2.875,none,2,Other,Female
EU086,No,No,Yes,0.83,primary2,2,Other,Male
EU087,No,No,No,2.675,secondary,2,Other,Male
EU088,No,No,No,3.155,primary2,2,Other,Male
